Placement.points,Contribution,Channel
AOD-3rdPartyAudience-AffluentInvestors(impression),2,AOD
AOD-AdExchange-Microsoft,1,AOD
AOD-AdExchange-Microsoft(impression),33,AOD
AOD-AdExchange-Yahoo,0,AOD
AOD-AdExchange-Yahoo(impression),27,AOD
AOD-AsianUnstoppables-ChanYiWen-VideoAds-AU(impression),1,AOD
AOD-KeywordsTargeting(impression),16,AOD
AOD-PMP-PD-BBC-PremiumSection-Homepage/Business/Capital-Desktop,1,AOD
AOD-PMP-PD-BBC-PremiumSection-Homepage/Business/Capital-Desktop&Mobile(impression),3,AOD
AOD-PMP-PD-BBC-PremiumSection-Homepage/Business/Capital-Desktop(impression),6,AOD
AOD-PMP-PD-BBC-ROSwAODTargeting-Desktop,0,AOD
AOD-PMP-PD-BBC-ROSwAODTargeting-Desktop&Mobile,1,AOD
AOD-PMP-PD-BBC-ROSwAODTargeting-Desktop&Mobile(impression),5,AOD
AOD-PMP-PD-BBC-ROSwAODTargeting-Desktop(impression),5,AOD
AOD-PMP-PD-BBC-ROSwithBBCFirstPartySegmentsApplied-Desktop,0,AOD
AOD-PMP-PD-BBC-ROSwithBBCFirstPartySegmentsApplied-Desktop&Mobile(impression),5,AOD
AOD-PMP-PD-BBC-ROSwithBBCFirstPartySegmentsApplied-Desktop(impression),6,AOD
"AOD-PMP-PD-Mediacorp-ChannelNewsAsia-ROS,targetP35+withHHIabove100k(impression)",1,AOD
"AOD-PMP-PD-Mediacorp-TodayOnline-ROS,targetP35+withHHIabove100k(impression)",3,AOD
"AOD-PMP-PD-SPH-ROS,targetP35+(impression)",1,AOD
AOD-PMP-PG-Forbes-Forbes.comROS(impression),2,AOD
"AOD-PMP-PG-Forbes-RunofAsiaUnder30List,Business,Investing,LeaderhipChannels,IPSG",0,AOD
"AOD-PMP-PG-Forbes-RunofAsiaUnder30List,Business,Investing,LeaderhipChannels,IPSG(impression)",18,AOD
AOD-PMP-PG-WSJ-WSJDNGlobal-AT-C-Suite(impression),1,AOD
AOD-PMP-PG-WSJ-WSJDNGlobal-RunofBusiness,1,AOD
AOD-PMP-PG-WSJ-WSJDNGlobal-RunofBusiness(impression),10,AOD
AOD-PMP-PG-WSJ-WSJDNGlobal-RunofNews,3,AOD
AOD-PMP-PG-WSJ-WSJDNGlobal-RunofNews(impression),8,AOD
AOD-PMP-PG-WSJ-WSJDNGlobalNetwork-MobileWeb(impression),3,AOD
AOD-Propecting-MobileROE(impression),6,AOD
AOD-Prospecting-ROE(impression),12,AOD
"AOD-Prospecting-TopSitesforBanking&Finance,Investments,RealEstateandLuxuryShoppingcategories(impression)",20,AOD
AOD-Remarketing-DisplayandFacebookAdExchange,2,AOD
AOD-Remarketing-DisplayandFacebookAdExchange(impression),106,AOD
"AOD-TopSite-BankingandFinance,Investment,Local&BusinessNews,LuxuryShoppingandDining",0,AOD
"AOD-TopSite-BankingandFinance,Investment,Local&BusinessNews,LuxuryShoppingandDining(impression)",16,AOD
Brand,191,Google Search
BusinessTimes.com-Homepage-ExpandableSuperLeaderboard,1,Business Times
BusinessTimes.com-Homepage-ExpandableSuperLeaderboard(impression),6,Business Times
Citigold,3,Google Search
Criteo-Remarketing,4,Criteo
Criteo-Remarketing(impression),212,Criteo
DBSTreasuresTravel,1,Google Search
Deposit,63,Google Search
Dianomi-Desktop,4,Dianomi
Equity,0,Google Search
Facebook-CTW-TargetAffluent(ImageAd)-RiskProfile,2,Facebook
Facebook-CTW-TargetAffluent(ImageAd)-RiskProfile(impression),0,Facebook
Facebook-CTW-TargetAffluent(ImageAd)-Webinar(impression),2,Facebook
Facebook-CTW-TargetAffluent(ImageAd)-WWW,1,Facebook
Facebook-R&F-TargetAffluent-SequentialImageAds-ForbesU30,1,Facebook
Facebook-R&F-TargetAffluent-SequentialImageAds-ForbesU30(impression),0,Facebook
Facebook-R&F-TargetAffluent(CarouselAd),2,Facebook
