Placement,New Placement, Spend (11 May to 31 Aug) - SGD ,Impression/Click,Channel,Brand/Tactical,Channel2,Search Approach - Brand/Compet/Generic,Media Objective,"Audience 
(Publisher v Exchange)",Prospect / Remarket,Format,first_prob,contribution to total conversions (unique),last click,weightedvalue,contribution to total conversions (FULL),P2 Overall (Weighted),P1 (Shapley)
AOD - Asian Unstoppables - Alok Shetty - Video Ads - AU,AOD - Asian Unstoppables - Alok Shetty - Video Ads - AU, $538.04 ,Click,AOD,Brand,AOD - Brand,,Content Marketing,Exchange,Prospect,Video,0,0,0,0,0,,
AOD - 3rd Party Audience - Affluent Investors (impression),AOD - 3rd Party Audience - Affluent Investors ,,Impression,AOD,Tactical,AOD - Tactical,,,Exchange,Prospect,Display,9.27396E-05,6.005299015,2,3.978968254,5.486064935,1.45,0
AOD - Asian Unstoppables - Candice Lo - Video Ads - AU,AOD - Asian Unstoppables - Candice Lo - Video Ads - AU," $4,655.27 ",Click,AOD,Brand,AOD - Brand,,Content Marketing,Exchange,Prospect,Video,0,0,0,0,0,,
AOD - Ad Exchange - Microsoft (impression),AOD - Ad Exchange - Microsoft ,,Impression,AOD,Tactical,AOD - Tactical,,,Exchange,Prospect,Display,3.17915E-05,32.99335819,33,34.33928571,30.19041549,5.033333333,1.510443703
AOD - Asian Unstoppables - Chan Yi Wen - Video Ads - AU,AOD - Asian Unstoppables - Chan Yi Wen - Video Ads - AU, $46.87 ,Click,AOD,Brand,AOD - Brand,,Content Marketing,Exchange,Prospect,Video,0,0,0,0,0,,
AOD - Ad Exchange - Yahoo (impression),AOD - Ad Exchange - Yahoo ,,Impression,AOD,Tactical,AOD - Tactical,,,Exchange,Prospect,Display,8.73279E-05,33.7410987,27,34.84960317,30.20335428,3.402380952,0.521123142
AOD - Asian Unstoppables - Collage - Video Ads - AU,AOD - Asian Unstoppables - Collage - Video Ads - AU," $5,297.51 ",Click,AOD,Brand,AOD - Brand,,Content Marketing,Exchange,Prospect,Video,0,0,0,0,0,,
"AOD - Affinity Segments - Interest in Luxury Shopping, Banking and Finance, in-market for Real Estate and Automotive (impression)","AOD - Affinity Segments - Interest in Luxury Shopping, Banking and Finance, in-market for Real Estate and Automotive ",,Impression,AOD,Tactical,AOD - Tactical,,,Exchange,Prospect,Display,,,,,,5.666666667,0
AOD - Asian Unstoppables - Grace Chen - Video Ads - AU,AOD - Asian Unstoppables - Grace Chen - Video Ads - AU," $3,075.14 ",Click,AOD,Brand,AOD - Brand,,Content Marketing,Exchange,Prospect,Video,0,0,0,0,0,,
AOD - Asian Unstoppables - Alok Shetty - Video Ads - AU (impression),AOD - Asian Unstoppables - Alok Shetty - Video Ads - AU ,,Impression,AOD,Brand,AOD - Brand,,,Exchange,Prospect,Video,0,0,0,0,0,,
