Placement.points,Contribution,Channel
AOD-3rdPartyAudience-AffluentInvestors(impression),3.90515873,AOD
AOD-AdExchange-Microsoft,0.888888889,AOD
AOD-AdExchange-Microsoft(impression),33.45955988,AOD
AOD-AdExchange-Yahoo,0.472222222,AOD
AOD-AdExchange-Yahoo(impression),34.0504329,AOD
AOD-AsianUnstoppables-ChanYiWen-VideoAds-AU(impression),0.5,AOD
AOD-KeywordsTargeting(impression),20.83932179,AOD
AOD-PMP-PD-BBC-PremiumSection-Homepage/Business/Capital-Desktop,0.73015873,AOD
AOD-PMP-PD-BBC-PremiumSection-Homepage/Business/Capital-Desktop&Mobile(impression),3.547258297,AOD
AOD-PMP-PD-BBC-PremiumSection-Homepage/Business/Capital-Desktop(impression),6.57989135,AOD
AOD-PMP-PD-BBC-ROSwAODTargeting-Desktop,0.25,AOD
AOD-PMP-PD-BBC-ROSwAODTargeting-Desktop&Mobile,0.666666667,AOD
AOD-PMP-PD-BBC-ROSwAODTargeting-Desktop&Mobile(impression),5.736147186,AOD
AOD-PMP-PD-BBC-ROSwAODTargeting-Desktop(impression),8.251226551,AOD
AOD-PMP-PD-BBC-ROSwithBBCFirstPartySegmentsApplied-Desktop,0.507936508,AOD
AOD-PMP-PD-BBC-ROSwithBBCFirstPartySegmentsApplied-Desktop&Mobile(impression),4.605591631,AOD
AOD-PMP-PD-BBC-ROSwithBBCFirstPartySegmentsApplied-Desktop(impression),3.831081827,AOD
"AOD-PMP-PD-Mediacorp-ChannelNewsAsia-ROS,targetP35+withHHIabove100k(impression)",1.333333333,AOD
"AOD-PMP-PD-Mediacorp-TodayOnline-ROS,targetP35+withHHIabove100k(impression)",1.194444444,AOD
"AOD-PMP-PD-SPH-ROS,targetP35+(impression)",1.111111111,AOD
AOD-PMP-PG-Forbes-Forbes.comROS(impression),2.203571429,AOD
"AOD-PMP-PG-Forbes-RunofAsiaUnder30List,Business,Investing,LeaderhipChannels,IPSG",0.4,AOD
"AOD-PMP-PG-Forbes-RunofAsiaUnder30List,Business,Investing,LeaderhipChannels,IPSG(impression)",26.58217893,AOD
AOD-PMP-PG-WSJ-WSJDNGlobal-AT-C-Suite(impression),2.466666667,AOD
AOD-PMP-PG-WSJ-WSJDNGlobal-RunofBusiness,0.25,AOD
AOD-PMP-PG-WSJ-WSJDNGlobal-RunofBusiness(impression),14.30833333,AOD
AOD-PMP-PG-WSJ-WSJDNGlobal-RunofNews,2.316666667,AOD
AOD-PMP-PG-WSJ-WSJDNGlobal-RunofNews(impression),12.51904762,AOD
AOD-PMP-PG-WSJ-WSJDNGlobalNetwork-MobileWeb(impression),5.521428571,AOD
AOD-Propecting-MobileROE(impression),8.533333333,AOD
AOD-Prospecting-ROE(impression),18.82460317,AOD
"AOD-Prospecting-TopSitesforBanking&Finance,Investments,RealEstateandLuxuryShoppingcategories(impression)",20.61511544,AOD
AOD-Remarketing-DisplayandFacebookAdExchange,0.9,AOD
AOD-Remarketing-DisplayandFacebookAdExchange(impression),84.7097827,AOD
"AOD-TopSite-BankingandFinance,Investment,Local&BusinessNews,LuxuryShoppingandDining",0.333333333,AOD
"AOD-TopSite-BankingandFinance,Investment,Local&BusinessNews,LuxuryShoppingandDining(impression)",14.7984127,AOD
Brand,173.339551,Google Search
BusinessTimes.com-Homepage-ExpandableSuperLeaderboard,0.5,Business Times
BusinessTimes.com-Homepage-ExpandableSuperLeaderboard(impression),9.18977591,Business Times
Citigold,3.25,Google Search
Criteo-Remarketing,4.202380952,Criteo
Criteo-Remarketing(impression),156.6423945,Criteo
DBSTreasuresTravel,1,Google Search
